DEBUG: General     , 1706458981960> LoggerManager.init                  > Initializing...
LOG  : General     , 1706458983327> sun.arch.data.model=64
LOG  : General     , 1706458983327> user.variant=
LOG  : General     , 1706458983327> java.vendor.url=http://www.azul.com/
LOG  : General     , 1706458983327> user.timezone=America/Sao_Paulo
LOG  : General     , 1706458983329> zomboid.steam=1
LOG  : General     , 1706458983329> java.vm.specification.version=17
LOG  : General     , 1706458983329> os.name=Windows 10
LOG  : General     , 1706458983329> user.country=BR
LOG  : General     , 1706458983329> sun.boot.library.path=D:\Steam\steamapps\common\ProjectZomb...
LOG  : General     , 1706458983330> zomboid.znetlog=1
LOG  : General     , 1706458983330> jdk.debug=release
LOG  : General     , 1706458983330> sun.cpu.endian=little
LOG  : General     , 1706458983330> user.home=C:\Users\User
LOG  : General     , 1706458983330> user.language=pt
LOG  : General     , 1706458983331> java.specification.vendor=Oracle Corporation
LOG  : General     , 1706458983331> java.version.date=2021-10-19
LOG  : General     , 1706458983331> java.home=D:\Steam\steamapps\common\ProjectZomb...
LOG  : General     , 1706458983331> file.separator=\
LOG  : General     , 1706458983331> java.vm.compressedOopsMode=Zero based
LOG  : General     , 1706458983332> line.separator=

LOG  : General     , 1706458983332> java.vm.specification.vendor=Oracle Corporation
LOG  : General     , 1706458983332> java.specification.name=Java Platform API Specification
LOG  : General     , 1706458983333> java.awt.headless=true
LOG  : General     , 1706458983333> user.script=
LOG  : General     , 1706458983333> sun.management.compiler=HotSpot 64-Bit Tiered Compilers
LOG  : General     , 1706458983333> java.runtime.version=17.0.1+12-LTS
LOG  : General     , 1706458983333> user.name=Niel
LOG  : General     , 1706458983334> path.separator=;
LOG  : General     , 1706458983334> os.version=10.0
LOG  : General     , 1706458983334> java.runtime.name=OpenJDK Runtime Environment
LOG  : General     , 1706458983334> file.encoding=Cp1252
LOG  : General     , 1706458983334> java.vm.name=OpenJDK 64-Bit Server VM
LOG  : General     , 1706458983334> java.vendor.version=Zulu17.30+15-CA
LOG  : General     , 1706458983335> java.vendor.url.bug=http://www.azul.com/support/
LOG  : General     , 1706458983335> java.io.tmpdir=C:\Users\User\AppData\Local\Temp\
LOG  : General     , 1706458983335> java.version=17.0.1
LOG  : General     , 1706458983335> user.dir=D:\Steam\steamapps\common\ProjectZomboid
LOG  : General     , 1706458983335> os.arch=amd64
LOG  : General     , 1706458983336> java.vm.specification.name=Java Virtual Machine Specification
LOG  : General     , 1706458983336> sun.os.patch.level=
LOG  : General     , 1706458983336> native.encoding=Cp1252
LOG  : General     , 1706458983336> java.library.path=win64/;.
LOG  : General     , 1706458983336> java.vm.info=mixed mode, sharing
LOG  : General     , 1706458983336> java.vendor=Azul Systems, Inc.
LOG  : General     , 1706458983337> java.vm.version=17.0.1+12-LTS
LOG  : General     , 1706458983337> sun.io.unicode.encoding=UnicodeLittle
LOG  : General     , 1706458983337> java.class.version=61.0
LOG  : General     , 1706458983337> -----
LOG  : General     , 1706458983338> version=41.78.16 demo=false
LOG  : General     , 1706458984214> LightingFPS set to 15
LOG  : General     , 1706458984230> [javafmodJNI] Init: Start
LOG  : General     , 1706458984230> [javafmodJNI] Init: WIN 64
LOG  : General     , 1706458984357> 1706458984355 fmod: Java loging: OK
LOG  : General     , 1706458984393> 1706458984393 fmod: FMOD::Studio::System::create() result: No errors.
LOG  : General     , 1706458984394> 1706458984394 fmod: FMOD::Studio::System::getCoreSystem() result: No errors.
LOG  : General     , 1706458984394> 1706458984394 fmod: FMOD_System_GetVersion() result: No errors.
LOG  : General     , 1706458984394> 1706458984394 fmod: fmodintegration built with version 20206, fmod shared library version 20206
LOG  : General     , 1706458984394> 1706458984394 fmod: System Create: OK
LOG  : General     , 1706458984395> 1706458984395 fmod: FMOD_System_SetSoftwareFormat() result: No errors.
LOG  : General     , 1706458984427> 1706458984427 fmod: FMOD::Studio::System::Initialize() result: No errors.
LOG  : General     , 1706458984428> 1706458984428 fmod: Creating DSP for capture sound
LOG  : General     , 1706458984428> 1706458984428 fmod: FMOD_System_CreateDSP() result: No errors.
LOG  : General     , 1706458984428> 1706458984428 fmod: FMOD_DSP_SetBypass() result: No errors.
LOG  : General     , 1706458984428> 1706458984428 fmod: FMOD_System_GetMasterChannelGroup() result: No errors.
LOG  : General     , 1706458984428> 1706458984428 fmod: FMOD_ChannelGroup_AddDSP() result: No errors.
LOG  : General     , 1706458984428> 1706458984428 fmod: FMOD_System_Set3DSettings() result: No errors.
LOG  : General     , 1706458985019> GraphicsCard: NVIDIA Corporation NVIDIA GeForce RTX 2060/PCIe/SSE2
LOG  : General     , 1706458985020> OpenGL version: 4.6.0 NVIDIA 551.23
LOG  : General     , 1706458985022> Desktop resolution 1920x1080
LOG  : General     , 1706458985024> Initial resolution 1920x1009 fullScreen=false
LOG  : General     , 1706458985035> OpenGL 1.5 buffer objects supported
LOG  : General     , 1706458985045> VSync: ON
LOG  : General     , 1706458985275> NVIDIA: current available GPU memory is 5021 MB
LOG  : General     , 1706458985276> NVIDIA: dedicated available GPU memory is 6144 MB
LOG  : General     , 1706458985276> NVIDIA: total available GPU memory is 6144 MB
LOG  : General     , 1706458997460> AngelCodeFont failed to load page 0 texture D:/Steam/steamapps/common/ProjectZomboid/media/mainfont_0.png
LOG  : General     , 1706458997465> AngelCodeFont failed to load page 0 texture D:/Steam/steamapps/common/ProjectZomboid/media/mainfont2_0.png
WARN : General     , 1706458997475> TextManager.Init> font "MediumNew" not found in fonts.txt
WARN : General     , 1706458997475> TextManager.Init> font "AutoNormSmall" not found in fonts.txt
WARN : General     , 1706458997475> TextManager.Init> font "AutoNormMedium" not found in fonts.txt
WARN : General     , 1706458997477> TextManager.Init> font "AutoNormLarge" not found in fonts.txt
LOG  : General     , 1706458997479> AngelCodeFont failed to load page 0 texture D:/Steam/steamapps/common/ProjectZomboid/media/fonts/zomboidDialogue.bmfc_0.png
WARN : General     , 1706458997501> TextManager.Init> font "DebugConsole" not found in fonts.txt
LOG  : General     , 1706458997741> Loading networking libraries...
LOG  : General     , 1706458997742> Loading steam_api64...
LOG  : General     , 1706458997743> Loading RakNet64...
LOG  : General     , 1706458997790> Loading ZNetJNI64...
LOG  : Network     , 1706458997941> [28-01-24 13:23:17.941] > ZNet: SetLogLevel 2
LOG  : Network     , 1706458997942> [28-01-24 13:23:17.942] > ZNet: SteamAPI initialised successfully
LOG  : General     , 1706458997942> SteamUtils initialised successfully
LOG  : Mod         , 1706458999478> 2x version of grapeseed.pack not found.
LOG  : Mod         , 1706458999556> 2x version of rvinterior.pack found.
LOG  : Mod         , 1706458999561> 2x version of AMManual.pack not found.
LOG  : Mod         , 1706458999566> 2x version of CMBUI.pack not found.
LOG  : Mod         , 1706458999566> 2x version of CustomMapBridge.pack found.
LOG  : Mod         , 1706458999566> 2x version of CustomMapBridge.floor.pack found.
LOG  : Mod         , 1706458999570> 2x version of HuntingCards.pack not found.
LOG  : Mod         , 1706458999571> 2x version of Captures.pack not found.
LOG  : Mod         , 1706458999571> 2x version of AdvancedFishing.pack not found.
LOG  : Mod         , 1706458999571> 2x version of LGManual.pack not found.
LOG  : Mod         , 1706458999596> loading ModTemplate
LOG  : Mod         , 1706458999607> loading SnakeUtilsPack
LOG  : Mod         , 1706458999619> mod "SnakeUtilsPack" overrides media/lua/client/radiocom/isradiointeractions.lua
LOG  : Mod         , 1706458999625> mod "SnakeUtilsPack" overrides media/lua/client/timedactions/isreloadweaponaction.lua
LOG  : Mod         , 1706458999645> mod "SnakeUtilsPack" overrides media/lua/shared/translate/ar/contextmenu_ar.txt
LOG  : Mod         , 1706458999647> mod "SnakeUtilsPack" overrides media/lua/shared/translate/ar/ig_ui_ar.txt
LOG  : Mod         , 1706458999648> mod "SnakeUtilsPack" overrides media/lua/shared/translate/ar/itemname_ar.txt
LOG  : Mod         , 1706458999649> mod "SnakeUtilsPack" overrides media/lua/shared/translate/en/contextmenu_en.txt
LOG  : Mod         , 1706458999651> mod "SnakeUtilsPack" overrides media/lua/shared/translate/en/ig_ui_en.txt
LOG  : Mod         , 1706458999651> mod "SnakeUtilsPack" overrides media/lua/shared/translate/en/itemname_en.txt
LOG  : Mod         , 1706458999652> mod "SnakeUtilsPack" overrides media/lua/shared/translate/es/contextmenu_es.txt
LOG  : Mod         , 1706458999654> mod "SnakeUtilsPack" overrides media/lua/shared/translate/es/ig_ui_es.txt
LOG  : Mod         , 1706458999655> mod "SnakeUtilsPack" overrides media/lua/shared/translate/es/itemname_es.txt
LOG  : Mod         , 1706458999657> mod "SnakeUtilsPack" overrides media/lua/shared/translate/ptbr/contextmenu_ptbr.txt
LOG  : Mod         , 1706458999658> mod "SnakeUtilsPack" overrides media/lua/shared/translate/ptbr/ig_ui_ptbr.txt
LOG  : Mod         , 1706458999659> mod "SnakeUtilsPack" overrides media/lua/shared/translate/ptbr/itemname_ptbr.txt
LOG  : Mod         , 1706458999660> mod "SnakeUtilsPack" overrides media/lua/shared/translate/ru/contextmenu_ru.txt
LOG  : Mod         , 1706458999661> mod "SnakeUtilsPack" overrides media/lua/shared/translate/ru/ig_ui_ru.txt
LOG  : Mod         , 1706458999662> mod "SnakeUtilsPack" overrides media/lua/shared/translate/ru/itemname_ru.txt
LOG  : Mod         , 1706458999680> loading AmmoMaker
LOG  : Mod         , 1706458999692> mod "AmmoMaker" overrides media/clothing/clothing.xml
LOG  : Mod         , 1706458999734> mod "AmmoMaker" overrides media/fileguidtable.xml
LOG  : Mod         , 1706458999772> mod "AmmoMaker" overrides media/lua/shared/translate/ar/contextmenu_ar.txt
LOG  : Mod         , 1706458999775> mod "AmmoMaker" overrides media/lua/shared/translate/ar/ig_ui_ar.txt
LOG  : Mod         , 1706458999776> mod "AmmoMaker" overrides media/lua/shared/translate/ar/itemname_ar.txt
LOG  : Mod         , 1706458999777> mod "AmmoMaker" overrides media/lua/shared/translate/ar/items_ar.txt
LOG  : Mod         , 1706458999778> mod "AmmoMaker" overrides media/lua/shared/translate/ar/moveables_ar.txt
LOG  : Mod         , 1706458999779> mod "AmmoMaker" overrides media/lua/shared/translate/ar/recipes_ar.txt
LOG  : Mod         , 1706458999781> mod "AmmoMaker" overrides media/lua/shared/translate/ar/stash_ar.txt
LOG  : Mod         , 1706458999782> mod "AmmoMaker" overrides media/lua/shared/translate/ar/survivalguide_ar.txt
LOG  : Mod         , 1706458999784> mod "AmmoMaker" overrides media/lua/shared/translate/ar/tooltip_ar.txt
LOG  : Mod         , 1706458999786> mod "AmmoMaker" overrides media/lua/shared/translate/ar/ui_ar.txt
LOG  : Mod         , 1706458999787> mod "AmmoMaker" overrides media/lua/shared/translate/en/contextmenu_en.txt
LOG  : Mod         , 1706458999789> mod "AmmoMaker" overrides media/lua/shared/translate/en/ig_ui_en.txt
LOG  : Mod         , 1706458999790> mod "AmmoMaker" overrides media/lua/shared/translate/en/itemname_en.txt
LOG  : Mod         , 1706458999792> mod "AmmoMaker" overrides media/lua/shared/translate/en/recipes_en.txt
LOG  : Mod         , 1706458999792> mod "AmmoMaker" overrides media/lua/shared/translate/en/recorded_media_en.txt
LOG  : Mod         , 1706458999795> mod "AmmoMaker" overrides media/lua/shared/translate/en/stash_en.txt
LOG  : Mod         , 1706458999797> mod "AmmoMaker" overrides media/lua/shared/translate/en/survivalguide_en.txt
LOG  : Mod         , 1706458999798> mod "AmmoMaker" overrides media/lua/shared/translate/en/tooltip_en.txt
LOG  : Mod         , 1706458999799> mod "AmmoMaker" overrides media/lua/shared/translate/en/ui_en.txt
LOG  : Mod         , 1706458999801> mod "AmmoMaker" overrides media/lua/shared/translate/es/contextmenu_es.txt
LOG  : Mod         , 1706458999802> mod "AmmoMaker" overrides media/lua/shared/translate/es/ig_ui_es.txt
LOG  : Mod         , 1706458999802> mod "AmmoMaker" overrides media/lua/shared/translate/es/itemname_es.txt
LOG  : Mod         , 1706458999805> mod "AmmoMaker" overrides media/lua/shared/translate/es/moveables_es.txt
LOG  : Mod         , 1706458999806> mod "AmmoMaker" overrides media/lua/shared/translate/es/recipes_es.txt
LOG  : Mod         , 1706458999807> mod "AmmoMaker" overrides media/lua/shared/translate/es/recorded_media_es.txt
LOG  : Mod         , 1706458999807> mod "AmmoMaker" overrides media/lua/shared/translate/es/stash_es.txt
LOG  : Mod         , 1706458999809> mod "AmmoMaker" overrides media/lua/shared/translate/es/survivalguide_es.txt
LOG  : Mod         , 1706458999810> mod "AmmoMaker" overrides media/lua/shared/translate/es/tooltip_es.txt
LOG  : Mod         , 1706458999811> mod "AmmoMaker" overrides media/lua/shared/translate/es/ui_es.txt
LOG  : Mod         , 1706458999812> mod "AmmoMaker" overrides media/lua/shared/translate/ptbr/contextmenu_ptbr.txt
LOG  : Mod         , 1706458999813> mod "AmmoMaker" overrides media/lua/shared/translate/ptbr/ig_ui_ptbr.txt
LOG  : Mod         , 1706458999814> mod "AmmoMaker" overrides media/lua/shared/translate/ptbr/itemname_ptbr.txt
LOG  : Mod         , 1706458999816> mod "AmmoMaker" overrides media/lua/shared/translate/ptbr/moveables_ptbr.txt
LOG  : Mod         , 1706458999818> mod "AmmoMaker" overrides media/lua/shared/translate/ptbr/recipes_ptbr.txt
LOG  : Mod         , 1706458999819> mod "AmmoMaker" overrides media/lua/shared/translate/ptbr/recorded_media_ptbr.txt
LOG  : Mod         , 1706458999819> mod "AmmoMaker" overrides media/lua/shared/translate/ptbr/stash_ptbr.txt
LOG  : Mod         , 1706458999821> mod "AmmoMaker" overrides media/lua/shared/translate/ptbr/survivalguide_ptbr.txt
LOG  : Mod         , 1706458999822> mod "AmmoMaker" overrides media/lua/shared/translate/ptbr/tooltip_ptbr.txt
LOG  : Mod         , 1706458999823> mod "AmmoMaker" overrides media/lua/shared/translate/ptbr/ui_ptbr.txt
LOG  : Mod         , 1706458999824> mod "AmmoMaker" overrides media/lua/shared/translate/ru/contextmenu_ru.txt
LOG  : Mod         , 1706458999825> mod "AmmoMaker" overrides media/lua/shared/translate/ru/ig_ui_ru.txt
LOG  : Mod         , 1706458999826> mod "AmmoMaker" overrides media/lua/shared/translate/ru/itemname_ru.txt
LOG  : Mod         , 1706458999828> mod "AmmoMaker" overrides media/lua/shared/translate/ru/recipes_ru.txt
LOG  : Mod         , 1706458999829> mod "AmmoMaker" overrides media/lua/shared/translate/ru/recorded_media_ru.txt
LOG  : Mod         , 1706458999830> mod "AmmoMaker" overrides media/lua/shared/translate/ru/stash_ru.txt
LOG  : Mod         , 1706458999832> mod "AmmoMaker" overrides media/lua/shared/translate/ru/tooltip_ru.txt
LOG  : Mod         , 1706458999833> mod "AmmoMaker" overrides media/lua/shared/translate/ru/ui_ru.txt
LOG  : Mod         , 1706459000143> loading CustomMapBridge
LOG  : Mod         , 1706459000178> mod "CustomMapBridge" overrides media/lua/shared/translate/ar/contextmenu_ar.txt
LOG  : Mod         , 1706459000179> mod "CustomMapBridge" overrides media/lua/shared/translate/ar/ig_ui_ar.txt
LOG  : Mod         , 1706459000180> mod "CustomMapBridge" overrides media/lua/shared/translate/ar/itemname_ar.txt
LOG  : Mod         , 1706459000181> mod "CustomMapBridge" overrides media/lua/shared/translate/ar/moveables_ar.txt
LOG  : Mod         , 1706459000182> mod "CustomMapBridge" overrides media/lua/shared/translate/ar/tooltip_ar.txt
LOG  : Mod         , 1706459000184> mod "CustomMapBridge" overrides media/lua/shared/translate/en/contextmenu_en.txt
LOG  : Mod         , 1706459000184> mod "CustomMapBridge" overrides media/lua/shared/translate/en/ig_ui_en.txt
LOG  : Mod         , 1706459000186> mod "CustomMapBridge" overrides media/lua/shared/translate/en/itemname_en.txt
LOG  : Mod         , 1706459000187> mod "CustomMapBridge" overrides media/lua/shared/translate/en/moveables_en.txt
LOG  : Mod         , 1706459000188> mod "CustomMapBridge" overrides media/lua/shared/translate/en/tooltip_en.txt
LOG  : Mod         , 1706459000189> mod "CustomMapBridge" overrides media/lua/shared/translate/es/contextmenu_es.txt
LOG  : Mod         , 1706459000191> mod "CustomMapBridge" overrides media/lua/shared/translate/es/ig_ui_es.txt
LOG  : Mod         , 1706459000192> mod "CustomMapBridge" overrides media/lua/shared/translate/es/itemname_es.txt
LOG  : Mod         , 1706459000193> mod "CustomMapBridge" overrides media/lua/shared/translate/es/moveables_es.txt
LOG  : Mod         , 1706459000194> mod "CustomMapBridge" overrides media/lua/shared/translate/es/tooltip_es.txt
LOG  : Mod         , 1706459000195> mod "CustomMapBridge" overrides media/lua/shared/translate/ptbr/contextmenu_ptbr.txt
LOG  : Mod         , 1706459000196> mod "CustomMapBridge" overrides media/lua/shared/translate/ptbr/ig_ui_ptbr.txt
LOG  : Mod         , 1706459000197> mod "CustomMapBridge" overrides media/lua/shared/translate/ptbr/itemname_ptbr.txt
LOG  : Mod         , 1706459000198> mod "CustomMapBridge" overrides media/lua/shared/translate/ptbr/moveables_ptbr.txt
LOG  : Mod         , 1706459000199> mod "CustomMapBridge" overrides media/lua/shared/translate/ptbr/tooltip_ptbr.txt
LOG  : Mod         , 1706459000199> mod "CustomMapBridge" overrides media/lua/shared/translate/ru/contextmenu_ru.txt
LOG  : Mod         , 1706459000201> mod "CustomMapBridge" overrides media/lua/shared/translate/ru/ig_ui_ru.txt
LOG  : Mod         , 1706459000202> mod "CustomMapBridge" overrides media/lua/shared/translate/ru/itemname_ru.txt
LOG  : Mod         , 1706459000203> mod "CustomMapBridge" overrides media/lua/shared/translate/ru/moveables_ru.txt
LOG  : Mod         , 1706459000204> mod "CustomMapBridge" overrides media/lua/shared/translate/ru/tooltip_ru.txt
LOG  : Mod         , 1706459000304> loading FuelTanksMod
LOG  : Mod         , 1706459000319> mod "FuelTanksMod" overrides media/lua/shared/translate/ar/contextmenu_ar.txt
LOG  : Mod         , 1706459000320> mod "FuelTanksMod" overrides media/lua/shared/translate/ar/itemname_ar.txt
LOG  : Mod         , 1706459000322> mod "FuelTanksMod" overrides media/lua/shared/translate/ar/recipes_ar.txt
LOG  : Mod         , 1706459000323> mod "FuelTanksMod" overrides media/lua/shared/translate/ar/tooltip_ar.txt
LOG  : Mod         , 1706459000324> mod "FuelTanksMod" overrides media/lua/shared/translate/en/contextmenu_en.txt
LOG  : Mod         , 1706459000325> mod "FuelTanksMod" overrides media/lua/shared/translate/en/itemname_en.txt
LOG  : Mod         , 1706459000326> mod "FuelTanksMod" overrides media/lua/shared/translate/en/recipes_en.txt
LOG  : Mod         , 1706459000327> mod "FuelTanksMod" overrides media/lua/shared/translate/en/tooltip_en.txt
LOG  : Mod         , 1706459000328> mod "FuelTanksMod" overrides media/lua/shared/translate/es/contextmenu_es.txt
LOG  : Mod         , 1706459000329> mod "FuelTanksMod" overrides media/lua/shared/translate/es/itemname_es.txt
LOG  : Mod         , 1706459000329> mod "FuelTanksMod" overrides media/lua/shared/translate/es/recipes_es.txt
LOG  : Mod         , 1706459000331> mod "FuelTanksMod" overrides media/lua/shared/translate/es/tooltip_es.txt
LOG  : Mod         , 1706459000332> mod "FuelTanksMod" overrides media/lua/shared/translate/ptbr/contextmenu_ptbr.txt
LOG  : Mod         , 1706459000333> mod "FuelTanksMod" overrides media/lua/shared/translate/ptbr/itemname_ptbr.txt
LOG  : Mod         , 1706459000334> mod "FuelTanksMod" overrides media/lua/shared/translate/ptbr/recipes_ptbr.txt
LOG  : Mod         , 1706459000335> mod "FuelTanksMod" overrides media/lua/shared/translate/ptbr/tooltip_ptbr.txt
LOG  : Mod         , 1706459000336> mod "FuelTanksMod" overrides media/lua/shared/translate/ru/contextmenu_ru.txt
LOG  : Mod         , 1706459000337> mod "FuelTanksMod" overrides media/lua/shared/translate/ru/itemname_ru.txt
LOG  : Mod         , 1706459000339> mod "FuelTanksMod" overrides media/lua/shared/translate/ru/recipes_ru.txt
LOG  : Mod         , 1706459000340> mod "FuelTanksMod" overrides media/lua/shared/translate/ru/tooltip_ru.txt
LOG  : Mod         , 1706459000347> loading BatesMetalicosRevived
LOG  : Mod         , 1706459000357> mod "BatesMetalicosRevived" overrides media/lua/shared/translate/ar/itemname_ar.txt
LOG  : Mod         , 1706459000358> mod "BatesMetalicosRevived" overrides media/lua/shared/translate/ar/tooltip_ar.txt
LOG  : Mod         , 1706459000359> mod "BatesMetalicosRevived" overrides media/lua/shared/translate/en/itemname_en.txt
LOG  : Mod         , 1706459000360> mod "BatesMetalicosRevived" overrides media/lua/shared/translate/en/tooltip_en.txt
LOG  : Mod         , 1706459000361> mod "BatesMetalicosRevived" overrides media/lua/shared/translate/es/itemname_es.txt
LOG  : Mod         , 1706459000361> mod "BatesMetalicosRevived" overrides media/lua/shared/translate/es/tooltip_es.txt
LOG  : Mod         , 1706459000362> mod "BatesMetalicosRevived" overrides media/lua/shared/translate/ptbr/itemname_ptbr.txt
LOG  : Mod         , 1706459000364> mod "BatesMetalicosRevived" overrides media/lua/shared/translate/ptbr/tooltip_ptbr.txt
LOG  : Mod         , 1706459000365> mod "BatesMetalicosRevived" overrides media/lua/shared/translate/ru/itemname_ru.txt
LOG  : Mod         , 1706459000366> mod "BatesMetalicosRevived" overrides media/lua/shared/translate/ru/tooltip_ru.txt
LOG  : Mod         , 1706459000375> loading Barco Abandonado
LOG  : Mod         , 1706459000389> loading Factory
LOG  : Mod         , 1706459000392> mod "Factory" overrides location.png
LOG  : Mod         , 1706459000397> mod "Factory" overrides media/lua/shared/translate/ar/contextmenu_ar.txt
LOG  : Mod         , 1706459000398> mod "Factory" overrides media/lua/shared/translate/ar/itemname_ar.txt
LOG  : Mod         , 1706459000399> mod "Factory" overrides media/lua/shared/translate/en/contextmenu_en.txt
LOG  : Mod         , 1706459000400> mod "Factory" overrides media/lua/shared/translate/en/itemname_en.txt
LOG  : Mod         , 1706459000401> mod "Factory" overrides media/lua/shared/translate/es/contextmenu_es.txt
LOG  : Mod         , 1706459000402> mod "Factory" overrides media/lua/shared/translate/es/itemname_es.txt
LOG  : Mod         , 1706459000410> loading LeGourmetRevolution
LOG  : Mod         , 1706459000441> mod "LeGourmetRevolution" overrides media/clothing/clothing.xml
LOG  : Mod         , 1706459000452> mod "LeGourmetRevolution" overrides media/fileguidtable.xml
LOG  : Mod         , 1706459000487> mod "LeGourmetRevolution" overrides media/lua/client/fishing/timedactions/isfishingaction.lua
LOG  : Mod         , 1706459000542> mod "LeGourmetRevolution" overrides media/lua/server/farming/farmingcommands.lua
LOG  : Mod         , 1706459000545> mod "LeGourmetRevolution" overrides media/lua/server/farming/sfarmingsystem.lua
LOG  : Mod         , 1706459000546> mod "LeGourmetRevolution" overrides media/lua/server/farming/splantglobalobject.lua
LOG  : Mod         , 1706459000556> mod "LeGourmetRevolution" overrides media/lua/server/map/mapobjects/mofarming.lua
LOG  : Mod         , 1706459000557> mod "LeGourmetRevolution" overrides media/lua/server/map/mapobjects/motrap.lua
LOG  : Mod         , 1706459000560> mod "LeGourmetRevolution" overrides media/lua/server/traps/strapglobalobject.lua
LOG  : Mod         , 1706459000572> mod "LeGourmetRevolution" overrides media/lua/shared/fishing/fishing_properties.lua
LOG  : Mod         , 1706459000578> mod "LeGourmetRevolution" overrides media/lua/shared/translate/ar/contextmenu_ar.txt
LOG  : Mod         , 1706459000579> mod "LeGourmetRevolution" overrides media/lua/shared/translate/ar/farming_ar.txt
LOG  : Mod         , 1706459000580> mod "LeGourmetRevolution" overrides media/lua/shared/translate/ar/ig_ui_ar.txt
LOG  : Mod         , 1706459000581> mod "LeGourmetRevolution" overrides media/lua/shared/translate/ar/itemname_ar.txt
LOG  : Mod         , 1706459000582> mod "LeGourmetRevolution" overrides media/lua/shared/translate/ar/items_ar.txt
LOG  : Mod         , 1706459000583> mod "LeGourmetRevolution" overrides media/lua/shared/translate/ar/moveables_ar.txt
LOG  : Mod         , 1706459000583> mod "LeGourmetRevolution" overrides media/lua/shared/translate/ar/multistagebuild_ar.txt
LOG  : Mod         , 1706459000585> mod "LeGourmetRevolution" overrides media/lua/shared/translate/ar/recipes_ar.txt
LOG  : Mod         , 1706459000586> mod "LeGourmetRevolution" overrides media/lua/shared/translate/ar/recorded_media_ar.txt
LOG  : Mod         , 1706459000588> mod "LeGourmetRevolution" overrides media/lua/shared/translate/ar/stash_ar.txt
LOG  : Mod         , 1706459000589> mod "LeGourmetRevolution" overrides media/lua/shared/translate/ar/survivalguide_ar.txt
LOG  : Mod         , 1706459000590> mod "LeGourmetRevolution" overrides media/lua/shared/translate/ar/tooltip_ar.txt
LOG  : Mod         , 1706459000592> mod "LeGourmetRevolution" overrides media/lua/shared/translate/ar/ui_ar.txt
LOG  : Mod         , 1706459000594> mod "LeGourmetRevolution" overrides media/lua/shared/translate/en/contextmenu_en.txt
LOG  : Mod         , 1706459000595> mod "LeGourmetRevolution" overrides media/lua/shared/translate/en/farming_en.txt
LOG  : Mod         , 1706459000597> mod "LeGourmetRevolution" overrides media/lua/shared/translate/en/ig_ui_en.txt
LOG  : Mod         , 1706459000598> mod "LeGourmetRevolution" overrides media/lua/shared/translate/en/itemname_en.txt
LOG  : Mod         , 1706459000599> mod "LeGourmetRevolution" overrides media/lua/shared/translate/en/items_en.txt
